,nstrike_1,idrings,Id,nstrike_2,date,F_AREA,area_gap_r,percent_area
13,8b,14.0,28.0,8b,2017-11-29,331.048858901,3.8593888117896644,1.1658064083355781
14,8b,15.0,28.0,8b,2017-11-29,331.048858901,4.185977940830918,1.2644592567777837
15,8b,16.0,28.0,8b,2017-11-29,331.048858901,4.285959189682724,1.2946606141193309
16,8b,17.0,28.0,8b,2017-11-29,331.048858901,4.064848198552065,1.2278695694787627
17,8b,18.0,28.0,8b,2017-11-29,331.048858901,3.9456706127130587,1.1918695704953357
18,8b,19.0,28.0,8b,2017-11-29,331.048858901,4.601519836214173,1.3899820864781338
19,8b,20.0,28.0,8b,2017-11-29,331.048858901,5.475383410607732,1.653950244318813
20,8b,21.0,28.0,8b,2017-11-29,331.048858901,6.371067040130258,1.9245095909046834
21,8b,22.0,28.0,8b,2017-11-29,331.048858901,7.459336060048489,2.2532432477827085
22,8b,23.0,28.0,8b,2017-11-29,331.048858901,8.384592455381346,2.532735646096504
23,8b,24.0,28.0,8b,2017-11-29,331.048858901,9.243182469230211,2.792090116218881
24,8b,25.0,28.0,8b,2017-11-29,331.048858901,9.715836810648572,2.9348649147750385
25,8b,26.0,28.0,8b,2017-11-29,331.048858901,9.973278849253528,3.0126304867391287
26,8b,27.0,28.0,8b,2017-11-29,331.048858901,9.939120406465241,3.002312238580327
27,8b,28.0,28.0,8b,2017-11-29,331.048858901,9.014532139860263,2.7230216620550425
28,8b,29.0,28.0,8b,2017-11-29,331.048858901,7.637020194541492,2.306916332499832
29,8b,30.0,28.0,8b,2017-11-29,331.048858901,6.487678900660531,1.959734560692344
30,8b,31.0,28.0,8b,2017-11-29,331.048858901,5.392154493223667,1.6288092673463004
31,8b,32.0,28.0,8b,2017-11-29,331.048858901,4.555793155871776,1.3761694183136224
32,8b,33.0,28.0,8b,2017-11-29,331.048858901,3.822560485121996,1.1546816677791756
33,8b,34.0,28.0,8b,2017-11-29,331.048858901,3.5212461895229166,1.063663593710179
34,8b,35.0,28.0,8b,2017-11-29,331.048858901,3.4853168692512635,1.052810416209151
35,8b,36.0,28.0,8b,2017-11-29,331.048858901,3.3457824004217755,1.0106612092030591
36,8b,37.0,28.0,8b,2017-11-29,331.048858901,4.62170548873247,1.3960795708752431
37,8b,38.0,28.0,8b,2017-11-29,331.048858901,6.148147034984927,1.857172097011676
38,8b,39.0,28.0,8b,2017-11-29,331.048858901,6.94925368957814,2.099162556441951
39,8b,40.0,28.0,8b,2017-11-29,331.048858901,6.550285543671352,1.9786461628101282
0,9,12.0,20.0,9,2016-12-23,18.9362175071,1.748635776159343,9.234345642173283
1,9,13.0,20.0,9,2016-12-23,18.9362175071,3.9336335309459978,20.773069011649817
2,9,14.0,20.0,9,2016-12-23,18.9362175071,4.856235266819455,25.645223313466083
3,9,15.0,20.0,9,2016-12-23,18.9362175071,4.566990619618608,24.11775539600898
4,9,16.0,20.0,9,2016-12-23,18.9362175071,3.307355501131052,17.46576632788984
5,9,17.0,20.0,9,2016-12-23,18.9362175071,0.5233668124099268,2.763840308729524
